S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
72,"2,587.30","2,614.28","2,569.00","2,583.29",-13.53,-0.52,"4,518,385,107.16",2024-12-22
73,"2,626.79","2,634.57","2,593.18","2,596.82",-31.43,-1.19,"4,760,267,483.47",2024-12-19
74,"2,634.67","2,656.08","2,621.00","2,628.26",-5.60,-0.21,"4,270,082,575.91",2024-12-18
75,"2,633.28","2,648.55","2,611.89","2,633.87",2.95,0.11,"4,343,234,740.51",2024-12-17
76,"2,683.99","2,684.32","2,622.76","2,630.91",-51.37,-1.91,"5,935,604,847.03",2024-12-16
77,"2,715.71","2,730.31","2,678.09","2,682.29",-33.42,-1.23,"6,144,065,744.00",2024-12-12
78,"2,671.32","2,715.71","2,662.72","2,715.71",45.88,1.71,"5,050,654,450.09",2024-12-11
79,"2,676.14","2,694.85","2,660.36","2,669.82",-6.32,-0.23,"4,413,320,290.80",2024-12-10
80,"2,687.74","2,709.58","2,662.36","2,676.15",-12.84,-0.47,"5,629,945,822.09",2024-12-09
81,"2,735.65","2,735.67","2,675.92","2,689.00",-45.93,-1.67,"7,460,304,999.55",2024-12-08
82,"2,752.39","2,764.29","2,717.34","2,734.93",-15.93,-0.57,"8,369,687,402.72",2024-12-05
83,"2,795.71","2,795.78","2,747.65","2,750.87",-24.97,-0.89,"9,132,468,906.77",2024-12-04
84,"2,772.74","2,793.03","2,751.31","2,775.85",17.80,0.64,"8,521,219,299.67",2024-12-03
85,"2,749.26","2,773.47","2,746.47","2,758.04",19.97,0.72,"10,541,746,564.07",2024-12-02
86,"2,762.46","2,764.85","2,707.94","2,738.06",-9.99,-0.36,"8,832,306,919.82",2024-12-01
87,"2,757.13","2,774.14","2,738.80","2,748.05",-8.30,-0.30,"8,545,501,623.12",2024-11-28
88,"2,721.76","2,755.98","2,721.35","2,756.36",39.70,1.46,"9,312,754,840.36",2024-11-27
89,"2,704.57","2,719.84","2,685.64","2,716.66",33.41,1.24,"7,449,898,987.89",2024-11-26
90,"2,682.28","2,694.67","2,661.21","2,683.24",15.83,0.59,"6,345,809,597.83",2024-11-25
91,"2,690.52","2,698.76","2,661.22","2,667.40",-13.03,-0.48,"7,728,861,250.73",2024-11-24
92,"2,711.55","2,722.59","2,676.25","2,680.44",-31.31,-1.15,"8,257,643,886.83",2024-11-21
93,"2,705.16","2,713.93","2,683.79","2,711.75",9.09,0.33,"7,092,879,946.39",2024-11-20
94,"2,758.41","2,759.54","2,696.42","2,702.65",-51.11,-1.85,"10,468,320,521.90",2024-11-19
95,"2,753.45","2,788.12","2,748.29","2,753.76",4.98,0.18,"11,726,756,904.61",2024-11-17
96,"2,739.00","2,762.51","2,729.67","2,748.78",13.95,0.51,"10,320,331,436.20",2024-11-14
97,"2,754.62","2,757.38","2,728.11","2,734.83",-14.12,-0.51,"7,911,976,449.08",2024-11-13
98,"2,765.69","2,788.35","2,741.63","2,748.96",-11.24,-0.40,"7,859,740,798.91",2024-11-12
99,"2,740.12","2,782.43","2,734.41","2,760.21",22.14,0.80,"11,315,207,127.09",2024-11-11
100,"2,681.58","2,738.12","2,680.70","2,738.06",62.54,2.33,"9,771,124,073.54",2024-11-10
101,"2,679.47","2,684.81","2,669.19","2,675.51",-1.88,-0.07,"5,222,486,851.23",2024-11-06
102,"2,678.97","2,696.85","2,670.12","2,677.40",-0.21,0.00,"4,205,505,237.61",2024-11-05
103,"2,693.87","2,705.24","2,671.30","2,677.62",-14.43,-0.53,"5,953,950,787.59",2024-10-30
104,"2,648.36","2,692.11","2,647.99","2,692.05",46.69,1.76,"6,128,264,580.33",2024-10-29
105,"2,620.93","2,647.23","2,620.66","2,645.36",27.41,1.04,"5,344,800,912.47",2024-10-28
106,"2,629.83","2,632.94","2,610.14","2,617.95",-9.19,-0.34,"4,732,487,864.93",2024-10-27
107,"2,646.49","2,650.18","2,614.65","2,627.14",-18.25,-0.68,"5,419,104,157.29",2024-10-24
108,"2,675.20","2,684.66","2,637.54","2,645.39",-20.41,-0.76,"6,278,951,853.73",2024-10-23
109,"2,640.18","2,669.38","2,632.62","2,665.81",25.88,0.98,"4,171,665,619.69",2024-10-22
110,"2,698.72","2,700.82","2,635.43","2,639.92",-57.99,-2.14,"5,900,791,044.48",2024-10-21
111,"2,733.37","2,748.78","2,689.46","2,697.91",-47.44,-1.72,"8,180,262,572.11",2024-10-20
112,"2,747.69","2,780.97","2,734.19","2,745.36",2.47,0.09,"7,192,792,166.86",2024-10-17
113,"2,704.69","2,748.80","2,704.04","2,742.88",43.22,1.60,"5,660,237,737.60",2024-10-16
114,"2,668.08","2,700.23","2,667.82","2,699.66",31.48,1.17,"3,062,337,799.23",2024-10-15
115,"2,661.79","2,672.65","2,643.12","2,668.17",4.85,0.18,"3,761,512,706.84",2024-10-09
116,"2,692.49","2,699.55","2,652.66","2,663.32",-27.39,-1.01,"4,593,727,244.34",2024-10-08
117,"2,656.86","2,707.16","2,656.35","2,690.72",37.13,1.39,"7,095,953,027.17",2024-10-07
118,"2,597.51","2,653.63","2,583.25","2,653.58",56.09,2.15,"6,138,206,705.70",2024-10-06
119,"2,629.76","2,643.76","2,582.72","2,597.49",-26.07,-0.99,"6,778,195,881.11",2024-10-02
120,"2,510.34","2,623.56","2,510.11","2,623.56",114.70,4.57,"7,616,522,258.00",2024-10-01
121,"2,466.60","2,508.86","2,462.79","2,508.86",44.45,1.80,"3,715,359,935.11",2024-09-30
122,"2,483.91","2,494.57","2,442.61","2,464.40",-22.36,-0.89,"4,050,658,036.93",2024-09-29
123,"2,519.03","2,541.69","2,479.65","2,486.76",-32.81,-1.30,"4,841,407,720.13",2024-09-26
124,"2,473.06","2,519.97","2,443.28","2,519.57",49.18,1.99,"4,813,223,004.48",2024-09-25
125,"2,529.14","2,547.47","2,462.61","2,470.39",-58.93,-2.33,"5,689,561,356.68",2024-09-24
126,"2,607.85","2,608.43","2,517.79","2,529.33",-59.02,-2.28,"5,660,302,683.50",2024-09-23
127,"2,601.29","2,643.51","2,570.27","2,588.35",11.58,0.44,"5,092,948,690.68",2024-09-22
128,"2,584.34","2,606.04","2,551.40","2,576.76",-4.00,-0.15,"5,669,194,961.88",2024-09-18
129,"2,635.96","2,637.53","2,570.62","2,580.76",-57.03,-2.16,"7,361,988,383.74",2024-09-16
130,"2,698.51","2,734.58","2,630.11","2,637.79",-50.73,-1.88,"10,339,235,957.44",2024-09-15
131,"2,625.46","2,688.52","2,604.83","2,688.53",78.31,3.00,"8,169,274,612.81",2024-09-12
132,"2,636.29","2,651.19","2,601.91","2,610.21",-22.73,-0.86,"6,851,179,051.18",2024-09-11
133,"2,648.57","2,688.26","2,616.98","2,632.94",-13.09,-0.49,"7,245,568,421.39",2024-09-10
134,"2,702.56","2,706.54","2,637.71","2,646.03",-55.86,-2.06,"9,439,106,425.54",2024-09-09
135,"2,732.82","2,760.45","2,697.84","2,701.90",-25.46,-0.93,"10,122,408,249.12",2024-09-08
136,"2,740.21","2,758.92","2,686.62","2,727.36",-12.10,-0.44,"9,651,513,246.31",2024-09-05
137,"2,860.07","2,860.39","2,732.40","2,739.46",-90.73,-3.20,"12,925,688,215.22",2024-09-04
138,"2,834.42","2,860.43","2,802.92","2,830.16",6.90,0.24,"13,577,105,289.17",2024-09-03
139,"2,698.00","2,823.70","2,678.91","2,823.25",127.32,4.72,"13,104,631,802.67",2024-09-02
140,"2,749.68","2,781.75","2,686.61","2,695.93",-53.63,-1.95,"10,517,682,349.32",2024-09-01
141,"2,791.29","2,800.28","2,727.57","2,749.57",-36.83,-1.32,"12,243,601,365.90",2024-08-29
142,"2,791.09","2,860.89","2,761.02","2,786.40",3.80,0.13,"13,727,368,393.64",2024-08-28
143,"2,899.79","2,902.75","2,770.39","2,782.60",-111.96,-3.86,"18,649,533,170.34",2024-08-27
144,"2,987.06","2,990.04","2,885.39","2,894.57",-79.88,-2.68,"19,740,593,800.64",2024-08-25
145,"2,974.78","3,018.93","2,967.47","2,974.46",6.01,0.20,"19,160,652,085.56",2024-08-22
146,"2,981.03","3,002.74","2,943.61","2,968.44",2.11,0.07,"18,906,373,792.00",2024-08-21
147,"3,017.20","3,048.15","2,945.49","2,966.33",-34.48,-1.15,"28,836,997,376.12",2024-08-18
148,"2,979.89","3,036.64","2,975.11","3,000.81",43.05,1.45,"29,958,519,216.94",2024-08-15
149,"2,936.62","2,959.19","2,883.81","2,957.75",34.29,1.17,"23,430,581,150.48",2024-08-14
